[u'130121', u'国家税务总局湖北省税务局', u'国家税务总局十堰市张湾区税务局', u'中央国家行政机关省级以下直属机构', u'一级行政执法员（四）', u'普通职位', u'其他职位', u'从事税费征收管理、纳税服务及相关行政工作', u'300110110004', u'县（区）级及以下', u'行政执法类', u'2', u'工商管理类、农业经济管理类、公共管理类、图书情报与档案管理类、物流管理与工程类、工业工程类、电子商务类、旅游管理类、电子信息类、计算机类、自动化类、管理科学与工程类、测绘类、戏剧与影视学类、材料类', u'本科及以上', u'与最高学历相对应的学位', u'不限', u'无限制', u'无限制', u'否', u'3:1', u'湖北省十堰市张湾区', u'湖北省十堰市张湾区', u'在本单位最低服务年限为5年，本单位不提供宿舍', u'http://hubei.chinatax.gov.cn/', u'027-87322493', u'', u'']
[u'130121', u'国家税务总局湖北省税务局', u'国家税务总局潜江市税务局', u'中央国家行政机关省级以下直属机构', u'一级行政执法员（七）', u'普通职位', u'其他职位', u'从事税费征收管理、纳税服务及相关行政工作', u'300110273007', u'县（区）级及以下', u'行政执法类', u'2', u'经济学类、财政学类、金融学类、经济与贸易类、数学类、统计学类、财会审计类、电子商务类、社会保障类、新闻传播学类、法学类、电子信息类、计算机类、管理科学与工程类、测绘类、地质类、矿业类、能源动力类、航空航天类、工业工程类、英语相关专业', u'本科及以上', u'与最高学历相对应的学位', u'不限', u'无限制', u'无限制', u'否', u'3:1', u'湖北省潜江市', u'湖北省潜江市', u'在本单位最低服务年限为5年，本单位不提供宿舍', u'http://hubei.chinatax.gov.cn/', u'027-87322493', u'', u'']
[u'130125', u'国家税务总局广西壮族自治区税务局', u'国家税务总局横州市税务局', u'中央国家行政机关省级以下直属机构', u'一级行政执法员（五）', u'普通职位', u'西部地区和艰苦边远地区职位', u'从事税务相关工作', u'300110032005', u'县（区）级及以下', u'行政执法类', u'2', u'统计学类、数学类、计算机类、电子信息类、自动化类、电气类、机械类、能源动力类、仪器类、物理学类、管理科学与工程类、土木类、建筑类、交通运输类、环境科学与工程类、自然保护与环境生态类、安全科学与工程类、工业工程类', u'本科及以上', u'与最高学历相对应的学位', u'不限', u'无限制', u'无限制', u'否', u'3:1', u'广西壮族自治区南宁市横州市', u'广西壮族自治区南宁市横州市', u'在本单位最低服务年限为5年', u'http://guangxi.chinatax.gov.cn/', u'0771-5538066', u'', u'']
[u'130125', u'国家税务总局广西壮族自治区税务局', u'国家税务总局鹿寨县税务局', u'中央国家行政机关省级以下直属机构', u'一级行政执法员（三）', u'普通职位', u'西部地区和艰苦边远地区职位', u'从事税务相关工作', u'300110049003', u'县（区）级及以下', u'行政执法类', u'2', u'统计学类、数学类、计算机类、电子信息类、自动化类、电气类、机械类、能源动力类、仪器类、物理学类、管理科学与工程类、土木类、建筑类、交通运输类、环境科学与工程类、自然保护与环境生态类、安全科学与工程类、工业工程类', u'本科及以上', u'与最高学历相对应的学位', u'不限', u'无限制', u'无限制', u'否', u'3:1', u'广西壮族自治区柳州市鹿寨县', u'广西壮族自治区柳州市鹿寨县', u'在本单位最低服务年限为5年', u'http://guangxi.chinatax.gov.cn/', u'0771-5538066', u'', u'']
[u'130125', u'国家税务总局广西壮族自治区税务局', u'国家税务总局三江侗族自治县税务局', u'中央国家行政机关省级以下直属机构', u'一级行政执法员（二）', u'普通职位', u'西部地区和艰苦边远地区职位', u'从事税务相关工作', u'300110052002', u'县（区）级及以下', u'行政执法类', u'2', u'统计学类、数学类、计算机类、电子信息类、自动化类、电气类、机械类、能源动力类、仪器类、物理学类、管理科学与工程类、土木类、建筑类、交通运输类、环境科学与工程类、自然保护与环境生态类、安全科学与工程类、工业工程类', u'本科及以上', u'与最高学历相对应的学位', u'不限', u'无限制', u'无限制', u'否', u'3:1', u'广西壮族自治区柳州市三江侗族自治县', u'广西壮族自治区柳州市三江侗族自治县', u'在本单位最低服务年限为5年', u'http://guangxi.chinatax.gov.cn/', u'0771-5538066', u'', u'']
[u'130125', u'国家税务总局广西壮族自治区税务局', u'国家税务总局兴安县税务局', u'中央国家行政机关省级以下直属机构', u'一级行政执法员（三）', u'普通职位', u'西部地区和艰苦边远地区职位', u'从事税务相关工作', u'300110070003', u'县（区）级及以下', u'行政执法类', u'3', u'统计学类、数学类、计算机类、电子信息类、自动化类、电气类、机械类、能源动力类、仪器类、物理学类、管理科学与工程类、土木类、建筑类、交通运输类、环境科学与工程类、自然保护与环境生态类、安全科学与工程类、工业工程类', u'本科及以上', u'与最高学历相对应的学位', u'不限', u'无限制', u'无限制', u'否', u'3:1', u'广西壮族自治区桂林市兴安县', u'广西壮族自治区桂林市兴安县', u'在本单位最低服务年限为5年', u'http://guangxi.chinatax.gov.cn/', u'0771-5538066', u'', u'']
[u'130125', u'国家税务总局广西壮族自治区税务局', u'国家税务总局永福县税务局', u'中央国家行政机关省级以下直属机构', u'一级行政执法员（三）', u'普通职位', u'西部地区和艰苦边远地区职位', u'从事税务相关工作', u'300110071003', u'县（区）级及以下', u'行政执法类', u'2', u'统计学类、数学类、计算机类、电子信息类、自动化类、电气类、机械类、能源动力类、仪器类、物理学类、管理科学与工程类、土木类、建筑类、交通运输类、环境科学与工程类、自然保护与环境生态类、安全科学与工程类、工业工程类', u'本科及以上', u'与最高学历相对应的学位', u'不限', u'无限制', u'无限制', u'否', u'3:1', u'广西壮族自治区桂林市永福县', u'广西壮族自治区桂林市永福县', u'在本单位最低服务年限为5年', u'http://guangxi.chinatax.gov.cn/', u'0771-5538066', u'', u'']
[u'130125', u'国家税务总局广西壮族自治区税务局', u'国家税务总局龙胜各族自治县税务局', u'中央国家行政机关省级以下直属机构', u'一级行政执法员（一）', u'普通职位', u'西部地区和艰苦边远地区职位', u'从事税务相关工作', u'300110074001', u'县（区）级及以下', u'行政执法类', u'2', u'统计学类、数学类、计算机类、电子信息类、自动化类、电气类、机械类、能源动力类、仪器类、物理学类、管理科学与工程类、土木类、建筑类、交通运输类、环境科学与工程类、自然保护与环境生态类、安全科学与工程类、工业工程类', u'本科及以上', u'与最高学历相对应的学位', u'不限', u'无限制', u'无限制', u'否', u'3:1', u'广西壮族自治区桂林市龙胜各族自治县', u'广西壮族自治区桂林市龙胜各族自治县', u'在本单位最低服务年限为5年', u'http://guangxi.chinatax.gov.cn/', u'0771-5538066', u'', u'']
[u'130125', u'国家税务总局广西壮族自治区税务局', u'国家税务总局平乐县税务局', u'中央国家行政机关省级以下直属机构', u'一级行政执法员（四）', u'普通职位', u'西部地区和艰苦边远地区职位', u'从事税务相关工作', u'300110076004', u'县（区）级及以下', u'行政执法类', u'2', u'统计学类、数学类、计算机类、电子信息类、自动化类、电气类、机械类、能源动力类、仪器类、物理学类、管理科学与工程类、土木类、建筑类、交通运输类、环境科学与工程类、自然保护与环境生态类、安全科学与工程类、工业工程类', u'本科及以上', u'与最高学历相对应的学位', u'不限', u'无限制', u'无限制', u'否', u'3:1', u'广西壮族自治区桂林市平乐县', u'广西壮族自治区桂林市平乐县', u'在本单位最低服务年限为5年，男性', u'http://guangxi.chinatax.gov.cn/', u'0771-5538066', u'', u'']
[u'130125', u'国家税务总局广西壮族自治区税务局', u'国家税务总局梧州市万秀区税务局', u'中央国家行政机关省级以下直属机构', u'一级行政执法员（四）', u'普通职位', u'西部地区和艰苦边远地区职位', u'从事税务相关工作', u'300110081004', u'县（区）级及以下', u'行政执法类', u'2', u'统计学类、数学类、计算机类、电子信息类、自动化类、电气类、机械类、能源动力类、仪器类、物理学类、管理科学与工程类、土木类、建筑类、交通运输类、环境科学与工程类、自然保护与环境生态类、安全科学与工程类、工业工程类', u'本科及以上', u'与最高学历相对应的学位', u'不限', u'无限制', u'无限制', u'否', u'3:1', u'广西壮族自治区梧州市万秀区', u'广西壮族自治区梧州市万秀区', u'在本单位最低服务年限为5年', u'http://guangxi.chinatax.gov.cn/', u'0771-5538066', u'', u'']
[u'130125', u'国家税务总局广西壮族自治区税务局', u'国家税务总局梧州市龙圩区税务局', u'中央国家行政机关省级以下直属机构', u'一级行政执法员（四）', u'普通职位', u'西部地区和艰苦边远地区职位', u'从事税务相关工作', u'300110083008', u'县（区）级及以下', u'行政执法类', u'2', u'统计学类、数学类、计算机类、电子信息类、自动化类、电气类、机械类、能源动力类、仪器类、物理学类、管理科学与工程类、土木类、建筑类、交通运输类、环境科学与工程类、自然保护与环境生态类、安全科学与工程类、工业工程类', u'本科及以上', u'与最高学历相对应的学位', u'不限', u'无限制', u'无限制', u'否', u'3:1', u'广西壮族自治区梧州市龙圩区', u'广西壮族自治区梧州市龙圩区', u'在本单位最低服务年限为5年', u'http://guangxi.chinatax.gov.cn/', u'0771-5538066', u'', u'']
[u'130125', u'国家税务总局广西壮族自治区税务局', u'国家税务总局上思县税务局', u'中央国家行政机关省级以下直属机构', u'一级行政执法员（一）', u'普通职位', u'西部地区和艰苦边远地区职位', u'从事税务相关工作', u'300110103001', u'县（区）级及以下', u'行政执法类', u'1', u'统计学类、数学类、计算机类、电子信息类、自动化类、电气类、机械类、能源动力类、仪器类、物理学类、管理科学与工程类、土木类、建筑类、交通运输类、环境科学与工程类、自然保护与环境生态类、安全科学与工程类、工业工程类', u'本科及以上', u'与最高学历相对应的学位', u'不限', u'无限制', u'无限制', u'否', u'3:1', u'广西壮族自治区防城港市上思县', u'广西壮族自治区防城港市上思县', u'在本单位最低服务年限为5年', u'http://guangxi.chinatax.gov.cn/', u'0771-5538066', u'', u'']
[u'130125', u'国家税务总局广西壮族自治区税务局', u'国家税务总局浦北县税务局', u'中央国家行政机关省级以下直属机构', u'一级行政执法员（四）', u'普通职位', u'西部地区和艰苦边远地区职位', u'从事税务相关工作', u'300110115004', u'县（区）级及以下', u'行政执法类', u'2', u'统计学类、数学类、计算机类、电子信息类、自动化类、电气类、机械类、能源动力类、仪器类、物理学类、管理科学与工程类、土木类、建筑类、交通运输类、环境科学与工程类、自然保护与环境生态类、安全科学与工程类、工业工程类', u'本科及以上', u'与最高学历相对应的学位', u'不限', u'无限制', u'无限制', u'否', u'3:1', u'广西壮族自治区钦州市浦北县', u'广西壮族自治区钦州市浦北县', u'在本单位最低服务年限为5年', u'http://guangxi.chinatax.gov.cn/', u'0771-5538066', u'', u'']
[u'130125', u'国家税务总局广西壮族自治区税务局', u'国家税务总局贵港市覃塘区税务局', u'中央国家行政机关省级以下直属机构', u'一级行政执法员（一）', u'普通职位', u'西部地区和艰苦边远地区职位', u'从事税务相关工作', u'300110123001', u'县（区）级及以下', u'行政执法类', u'2', u'统计学类、数学类、计算机类、电子信息类、自动化类、电气类、机械类、能源动力类、仪器类、物理学类、管理科学与工程类、土木类、建筑类、交通运输类、环境科学与工程类、自然保护与环境生态类、安全科学与工程类、工业工程类', u'本科及以上', u'与最高学历相对应的学位', u'不限', u'无限制', u'无限制', u'否', u'3:1', u'广西壮族自治区贵港市覃塘区', u'广西壮族自治区贵港市覃塘区', u'在本单位最低服务年限为5年，男性', u'http://guangxi.chinatax.gov.cn/', u'0771-5538066', u'', u'']
[u'130125', u'国家税务总局广西壮族自治区税务局', u'国家税务总局平南县税务局', u'中央国家行政机关省级以下直属机构', u'一级行政执法员（三）', u'普通职位', u'西部地区和艰苦边远地区职位', u'从事税务相关工作', u'300110125003', u'县（区）级及以下', u'行政执法类', u'2', u'统计学类、数学类、计算机类、电子信息类、自动化类、电气类、机械类、能源动力类、仪器类、物理学类、管理科学与工程类、土木类、建筑类、交通运输类、环境科学与工程类、自然保护与环境生态类、安全科学与工程类、工业工程类', u'本科及以上', u'与最高学历相对应的学位', u'不限', u'无限制', u'无限制', u'否', u'3:1', u'广西壮族自治区贵港市平南县', u'广西壮族自治区贵港市平南县', u'在本单位最低服务年限为5年', u'http://guangxi.chinatax.gov.cn/', u'0771-5538066', u'', u'']
[u'130125', u'国家税务总局广西壮族自治区税务局', u'国家税务总局容县税务局', u'中央国家行政机关省级以下直属机构', u'一级行政执法员（四）', u'普通职位', u'西部地区和艰苦边远地区职位', u'从事税务相关工作', u'300110131004', u'县（区）级及以下', u'行政执法类', u'2', u'统计学类、数学类、计算机类、电子信息类、自动化类、电气类、机械类、能源动力类、仪器类、物理学类、管理科学与工程类、土木类、建筑类、交通运输类、环境科学与工程类、自然保护与环境生态类、安全科学与工程类、工业工程类', u'本科及以上', u'与最高学历相对应的学位', u'不限', u'无限制', u'无限制', u'否', u'3:1', u'广西壮族自治区玉林市容县', u'广西壮族自治区玉林市容县', u'在本单位最低服务年限为5年', u'http://guangxi.chinatax.gov.cn/', u'0771-5538066', u'', u'']
[u'130125', u'国家税务总局广西壮族自治区税务局', u'国家税务总局博白县税务局', u'中央国家行政机关省级以下直属机构', u'一级行政执法员（五）', u'普通职位', u'西部地区和艰苦边远地区职位', u'从事税务相关工作', u'300110133005', u'县（区）级及以下', u'行政执法类', u'2', u'统计学类、数学类、计算机类、电子信息类、自动化类、电气类、机械类、能源动力类、仪器类、物理学类、管理科学与工程类、土木类、建筑类、交通运输类、环境科学与工程类、自然保护与环境生态类、安全科学与工程类、工业工程类', u'本科及以上', u'与最高学历相对应的学位', u'不限', u'无限制', u'无限制', u'否', u'3:1', u'广西壮族自治区玉林市博白县', u'广西壮族自治区玉林市博白县', u'在本单位最低服务年限为5年', u'http://guangxi.chinatax.gov.cn/', u'0771-5538066', u'', u'']
[u'130125', u'国家税务总局广西壮族自治区税务局', u'国家税务总局兴业县税务局', u'中央国家行政机关省级以下直属机构', u'一级行政执法员', u'普通职位', u'西部地区和艰苦边远地区职位', u'从事税务相关工作', u'300110134001', u'县（区）级及以下', u'行政执法类', u'3', u'统计学类、数学类、计算机类、电子信息类、自动化类、电气类、机械类、能源动力类、仪器类、物理学类、管理科学与工程类、土木类、建筑类、交通运输类、环境科学与工程类、自然保护与环境生态类、安全科学与工程类、工业工程类', u'本科及以上', u'与最高学历相对应的学位', u'不限', u'无限制', u'无限制', u'否', u'3:1', u'广西壮族自治区玉林市兴业县', u'广西壮族自治区玉林市兴业县', u'在本单位最低服务年限为5年', u'http://guangxi.chinatax.gov.cn/', u'0771-5538066', u'', u'']
[u'130125', u'国家税务总局广西壮族自治区税务局', u'国家税务总局平果市税务局', u'中央国家行政机关省级以下直属机构', u'一级行政执法员（四）', u'普通职位', u'西部地区和艰苦边远地区职位', u'从事税务相关工作', u'300110144004', u'县（区）级及以下', u'行政执法类', u'2', u'统计学类、数学类、计算机类、电子信息类、自动化类、电气类、机械类、能源动力类、仪器类、物理学类、管理科学与工程类、土木类、建筑类、交通运输类、环境科学与工程类、自然保护与环境生态类、安全科学与工程类、工业工程类', u'本科及以上', u'与最高学历相对应的学位', u'不限', u'无限制', u'无限制', u'否', u'3:1', u'广西壮族自治区百色市平果市', u'广西壮族自治区百色市平果市', u'在本单位最低服务年限为5年', u'http://guangxi.chinatax.gov.cn/', u'0771-5538066', u'', u'']
[u'130125', u'国家税务总局广西壮族自治区税务局', u'国家税务总局富川瑶族自治县税务局', u'中央国家行政机关省级以下直属机构', u'一级行政执法员（二）', u'普通职位', u'西部地区和艰苦边远地区职位', u'从事税务相关工作', u'300110164002', u'县（区）级及以下', u'行政执法类', u'3', u'统计学类、数学类、计算机类、电子信息类、自动化类、电气类、机械类、能源动力类、仪器类、物理学类、管理科学与工程类、土木类、建筑类、交通运输类、环境科学与工程类、自然保护与环境生态类、安全科学与工程类、工业工程类', u'本科及以上', u'与最高学历相对应的学位', u'不限', u'无限制', u'无限制', u'否', u'3:1', u'广西壮族自治区贺州市富川瑶族自治县', u'广西壮族自治区贺州市富川瑶族自治县', u'在本单位最低服务年限为5年', u'http://guangxi.chinatax.gov.cn/', u'0771-5538066', u'', u'']
[u'130125', u'国家税务总局广西壮族自治区税务局', u'国家税务总局昭平县税务局', u'中央国家行政机关省级以下直属机构', u'一级行政执法员（二）', u'普通职位', u'西部地区和艰苦边远地区职位', u'从事税务相关工作', u'300110165002', u'县（区）级及以下', u'行政执法类', u'2', u'统计学类、数学类、计算机类、电子信息类、自动化类、电气类、机械类、能源动力类、仪器类、物理学类、管理科学与工程类、土木类、建筑类、交通运输类、环境科学与工程类、自然保护与环境生态类、安全科学与工程类、工业工程类', u'本科及以上', u'与最高学历相对应的学位', u'不限', u'无限制', u'无限制', u'否', u'3:1', u'广西壮族自治区贺州市昭平县', u'广西壮族自治区贺州市昭平县', u'在本单位最低服务年限为5年', u'http://guangxi.chinatax.gov.cn/', u'0771-5538066', u'', u'']
[u'130125', u'国家税务总局广西壮族自治区税务局', u'国家税务总局河池市金城江区税务局', u'中央国家行政机关省级以下直属机构', u'一级行政执法员（五）', u'普通职位', u'西部地区和艰苦边远地区职位', u'从事税务相关工作', u'300110171005', u'县（区）级及以下', u'行政执法类', u'2', u'统计学类、数学类、计算机类、电子信息类、自动化类、电气类、机械类、能源动力类、仪器类、物理学类、管理科学与工程类、土木类、建筑类、交通运输类、环境科学与工程类、自然保护与环境生态类、安全科学与工程类、工业工程类', u'本科及以上', u'与最高学历相对应的学位', u'不限', u'无限制', u'无限制', u'否', u'3:1', u'广西壮族自治区河池市金城江区', u'广西壮族自治区河池市金城江区', u'在本单位最低服务年限为5年', u'http://guangxi.chinatax.gov.cn/', u'0771-5538066', u'', u'']
[u'130125', u'国家税务总局广西壮族自治区税务局', u'国家税务总局环江毛南族自治县税务局', u'中央国家行政机关省级以下直属机构', u'一级行政执法员（五）', u'普通职位', u'西部地区和艰苦边远地区职位', u'从事税务相关工作', u'300110174005', u'县（区）级及以下', u'行政执法类', u'2', u'统计学类、数学类、计算机类、电子信息类、自动化类、电气类、机械类、能源动力类、仪器类、物理学类、管理科学与工程类、土木类、建筑类、交通运输类、环境科学与工程类、自然保护与环境生态类、安全科学与工程类、工业工程类', u'本科及以上', u'与最高学历相对应的学位', u'不限', u'无限制', u'无限制', u'否', u'3:1', u'广西壮族自治区河池市环江毛南族自治县', u'广西壮族自治区河池市环江毛南族自治县', u'在本单位最低服务年限为5年', u'http://guangxi.chinatax.gov.cn/', u'0771-5538066', u'', u'']
[u'130125', u'国家税务总局广西壮族自治区税务局', u'国家税务总局南丹县税务局', u'中央国家行政机关省级以下直属机构', u'一级行政执法员（二）', u'普通职位', u'西部地区和艰苦边远地区职位', u'从事税务相关工作', u'300110175002', u'县（区）级及以下', u'行政执法类', u'2', u'统计学类、数学类、计算机类、电子信息类、自动化类、电气类、机械类、能源动力类、仪器类、物理学类、管理科学与工程类、土木类、建筑类、交通运输类、环境科学与工程类、自然保护与环境生态类、安全科学与工程类、工业工程类', u'本科及以上', u'与最高学历相对应的学位', u'不限', u'无限制', u'无限制', u'否', u'3:1', u'广西壮族自治区河池市南丹县', u'广西壮族自治区河池市南丹县', u'在本单位最低服务年限为5年', u'http://guangxi.chinatax.gov.cn/', u'0771-5538066', u'', u'']
